Ticker,Report Date,P/E Ratio (TTM),P/S Ratio (TTM),P/B Ratio,EV/EBITDA (TTM),ROE,Debt-to-Equity,Current Ratio
ESS,2025-08-14,20.594856,9.37275,2.9280336,19.627,0.1512,116.679,0.573
EG,2025-08-14,17.622583,0.79814434,0.9404964,,0.0552,23.89,0.393
EVRG,2025-08-14,20.002747,2.8497841,1.6826512,11.861,0.0864,148.129,0.503
ES,2025-08-14,28.606989,1.8714104,1.5515976,12.107,0.056209996,188.224,0.713
EXC,2025-08-14,16.977186,1.897503,1.6327202,12.164,0.09871,176.868,0.948
EXPE,2025-08-14,25.548706,1.8286457,30.85629,14.242,0.52707,311.457,0.751
EXPD,2025-08-14,19.586601,1.4431328,7.378432,13.63,0.39038,26.694,1.725
EXR,2025-08-14,29.702175,8.922763,2.1028411,19.336,0.069,93.006,2.075
XOM,2025-08-14,15.252841,1.3880095,1.7433232,7.867,0.118310004,14.442,1.249
FFIV,2025-08-14,28.08642,6.0492606,5.308864,20.568,0.20583999,7.484,1.602
FDS,2025-08-14,27.092485,6.198437,6.5866814,18.157,0.26346,75.191,1.465
FAST,2025-08-14,47.271843,7.1875124,14.674502,32.606,0.32564998,14.319,4.22
FRT,2025-08-14,23.729115,6.565727,2.6172793,16.479,0.10606,130.637,0.466
FIS,2025-08-14,286.32,3.6242986,2.6423035,16.361,0.010319999,91.533,0.587
FSLR,2025-08-14,15.388889,4.445789,2.2594936,10.682,0.15916,12.486,1.901
FE,2025-08-14,19.23348,1.8183397,1.96163,11.458,0.1071,182.189,0.614
FI,2025-08-14,22.511705,3.4662035,2.90436,10.821,0.12457,115.305,1.089
F,2025-08-14,14.666667,0.24577379,1.0105114,20.759,0.07152,355.447,1.101
FTNT,2025-08-14,30.776892,9.339694,28.7068,27.475,1.65171,52.839,1.328
FTV,2025-08-14,21.53153,2.6305666,1.5571047,12.479,0.0736,47.908,0.983
FOXA,2025-08-14,12.1975565,1.558819,2.2347016,8.188,0.19589001,60.421,2.91
FOX,2025-08-14,11.116091,1.5616678,2.0365672,7.513,0.19589001,60.421,2.91
BEN,2025-08-14,50.2549,1.5404793,1.0886463,10.017,0.020769998,26.57,4.413
FCX,2025-08-14,32.0303,2.3510594,3.3320198,8.101,0.14645,30.841,2.465
GRMN,2025-08-14,29.055624,6.695175,5.570274,22.206,0.20733,2.335,3.012
IT,2025-08-14,14.995066,2.8674572,12.180907,14.402,1.16125,186.789,1.106
GE,2025-08-14,38.418804,6.8731985,14.946796,28.31,0.39567003,103.37,1.037
GEHC,2025-08-14,15.094263,1.684297,3.4627683,11.326,0.25798,107.666,1.16
GEV,2025-08-14,151.76457,4.648737,19.174768,69.166,0.11412,10.646,1.028
GEN,2025-08-14,32.822918,4.589532,8.220715,14.101,0.27543,374.757,0.5
GNRC,2025-08-14,33.161667,2.6463463,4.54145,17.714,0.14154,57.764,2.003
GD,2025-08-14,21.21155,1.6899478,3.5975943,15.539,0.17915002,45.034,1.364
GIS,2025-08-14,12.114634,1.3628778,2.9286556,10.737,0.24590999,166.066,0.671
GM,2025-08-14,8.61374,0.2863339,0.81361306,10.283,0.06955,200.191,1.218
GPC,2025-08-14,23.712566,0.8061425,4.0747094,13.253,0.17443001,136.085,1.137
GILD,2025-08-14,23.568316,5.1166267,7.5134144,12.164,0.33403,127.34,1.315
GPN,2025-08-14,14.853493,2.1013775,0.93574595,8.316,0.06589,71.165,0.947
GL,2025-08-14,11.0848,1.9077163,2.0713987,9.297,0.20015,58.815,0.632
GDDY,2025-08-14,25.648216,4.184556,49.32349,19.364,2.8803,959.866,0.637
GS,2025-08-14,16.44728,4.128064,1.9825519,,0.12739,588.392,1.59
HAL,2025-08-14,10.023474,0.8187035,1.7336582,5.556,0.18229,81.17,1.997
HIG,2025-08-14,11.929154,1.3457158,2.157465,8.347,0.19549,24.946,1.75
DOC,2025-08-14,71.00001,4.2357264,1.4935577,14.401,0.02138,109.007,4.007
HSIC,2025-08-14,21.836016,0.6447436,2.4028733,12.556,0.081190005,68.545,1.411
HSY,2025-08-14,23.93891,3.2352788,8.091753,15.617,0.35891998,132.921,1.53
HPE,2025-08-14,20.5,0.8839625,1.1706567,7.279,0.06373,73.382,1.287
HOLX,2025-08-14,28.240662,3.74801,3.1231644,12.799,0.11377,52.091,3.555
HD,2025-08-14,27.158752,2.444214,50.071297,18.264,2.9951901,778.781,1.093
HON,2025-08-14,24.823664,3.4642293,8.607156,16.773,0.33602002,226.06,1.294
HRL,2025-08-14,20.808823,1.305084,1.9374272,13.852,0.09373,35.538,2.472
HST,2025-08-14,17.0,1.874192,1.655101,10.137,0.097200006,83.267,2.203
HWM,2025-08-14,51.60997,9.188725,14.25713,35.055,0.29982,67.989,2.309
HUBB,2025-08-14,28.401688,4.1336884,6.6685457,18.852,0.25468,57.182,1.298
HUM,2025-08-14,21.542112,0.2748544,1.8557191,6.274,0.09034,70.626,1.952
HII,2025-08-14,20.01946,0.90719074,2.1497753,13.393,0.11589,59.586,1.081
IBM,2025-08-14,38.305332,3.4489765,8.02919,19.459,0.22665001,245.465,0.908
IEX,2025-08-14,27.009693,3.7677453,3.142433,15.644,0.12229,46.768,3.051
IDXX,2025-08-14,54.405155,12.957595,35.929344,38.906,0.64865,84.813,1.113
ITW,2025-08-14,23.045652,4.8458414,23.836723,18.98,1.09023,278.325,1.585
INCY,2025-08-14,20.368795,3.6695738,4.010053,13.559,0.24299,1.017,2.85
IR,2025-08-14,62.170544,4.328413,3.1598437,18.33,0.05251,49.167,2.286
PODD,2025-08-14,96.56881,9.420869,15.194148,46.252,0.19184999,95.68,2.257
ICE,2025-08-14,35.06334,10.793788,3.673658,20.354,0.11062,68.938,1.006
IPG,2025-08-14,21.90678,1.070239,2.5510707,7.146,0.11933,110.56,1.068
IVZ,2025-08-14,22.946236,1.5466793,0.8760982,11.978,0.052529998,12.594,0.631
INVH,2025-08-14,33.988766,7.004186,1.9179559,18.502,0.05531,84.594,1.729
IQV,2025-08-14,27.409552,2.050828,5.572555,15.704,0.19792,272.122,0.838
JBHT,2025-08-14,26.263636,1.159031,3.825274,10.343,0.14328,55.748,0.873
JBL,2025-08-14,41.330795,0.81823486,18.156004,12.108,0.32388002,265.268,0.983
JKHY,2025-08-14,27.175768,4.9986243,5.694211,19.978,0.22494,10.972,1.362
J,2025-08-14,38.033333,1.4981278,4.64562,16.652,0.084230006,63.387,1.395
JNJ,2025-08-14,18.726688,4.643044,5.3586874,14.938,0.30212,64.686,1.006
JCI,2025-08-14,35.006664,2.9366512,4.341284,20.04,0.11653,68.319,0.959
K,2025-08-14,20.963352,2.2021143,6.775531,15.094,0.35327998,154.846,0.682
KVUE,2025-08-14,28.08,2.669283,3.7660942,13.906,0.13564,81.491,0.978
KDP,2025-08-14,30.646019,2.9851372,1.8827816,15.681,0.06181,74.745,0.638
KEYS,2025-08-14,38.610325,5.5419903,5.159024,25.081,0.14297,50.484,3.387
KMB,2025-08-14,18.247606,2.2444534,34.836773,13.458,1.84203,518.746,0.775
KIM,2025-08-14,25.804878,6.840443,1.3620856,17.905,0.05632,77.343,2.151
KMI,2025-08-14,22.008196,3.7361667,1.9390482,13.948,0.08875,102.275,0.684
KKR,2025-08-14,68.89623,6.310978,5.068184,,0.07503,76.715,1.625
KLAC,2025-08-14,31.44865,10.371436,26.880398,23.462,1.00775,129.746,2.619
KR,2025-08-14,18.86376,0.3114323,5.61112,8.951,0.24239,229.201,0.948
LHX,2025-08-14,30.318792,2.372718,2.6280067,15.583,0.08926,62.776,1.039
LH,2025-08-14,29.873348,1.6717006,2.6540058,15.701,0.092609994,77.783,1.504
LRCX,2025-08-14,25.874697,7.371734,13.8144865,21.227,0.58238,48.233,2.21
LW,2025-08-14,21.932001,1.184387,4.3934298,9.384,0.20264,244.818,1.377
LVS,2025-08-14,27.333332,3.198527,18.674948,12.701,0.54145,693.252,1.218
LDOS,2025-08-14,16.818096,1.3424803,4.910562,12.18,0.30422002,121.139,1.622
LEN,2025-08-14,10.807788,0.95066434,1.496398,7.344,0.13258,19.683,9.429
LII,2025-08-14,25.637995,3.8852923,23.374556,19.962,1.12944,171.66,1.413
LLY,2025-08-14,44.675587,11.520539,33.591656,25.407,0.86291003,217.891,1.278
LIN,2025-08-14,33.922585,6.7368174,5.8150406,18.94,0.17312999,64.823,0.926
LYV,2025-08-14,68.76596,1.5801371,103.25879,19.978,0.59354997,365.185,0.878
LKQ,2025-08-14,11.518248,0.5781124,1.245855,8.298,0.11208,90.494,1.814
LMT,2025-08-14,24.513453,1.4211195,19.021357,17.191,0.73056,405.662,0.985
L,2025-08-14,15.171429,1.0977119,1.1322498,8.594,0.07991,48.654,0.476
LULU,2025-08-14,13.278232,2.176181,5.4615407,8.199,0.42488998,39.789,2.278
LYB,2025-08-14,113.42554,0.44359216,1.4397602,10.236,0.0121,111.01,1.774
MPC,2025-08-14,23.627367,0.36865228,2.9683273,10.924,0.14628,129.105,1.232
MKTX,2025-08-14,31.640812,8.374259,5.064511,15.599,0.16327,4.944,7.547
MMC,2025-08-14,24.84874,3.9443874,6.4547215,16.235,0.28408,135.265,1.203
MLM,2025-08-14,33.952328,5.5254188,3.945021,19.78,0.12084,62.022,2.348
MAS,2025-08-14,19.51459,2.0100365,-183.46634,12.463,5.14458,2149.333,1.818
MA,2025-08-14,39.310436,17.450684,67.346565,28.341,1.7694701,240.919,1.163
MKC,2025-08-14,24.456448,2.7935994,3.3628786,18.194,0.14122,79.122,0.68
MDT,2025-08-14,25.479225,3.5140383,2.455288,15.356,0.09508,61.393,1.849
MRK,2025-08-14,12.751926,3.2494383,4.228274,8.24,0.35421002,72.161,1.424
META,2025-08-14,28.399782,10.988681,10.087835,20.812,0.40647998,25.406,1.973
MET,2025-08-14,13.229202,0.7097399,1.8768215,9.542,0.15508,171.716,1.618
MGM,2025-08-14,19.852459,0.5745352,3.3250964,16.725,0.21792,844.044,1.218
MU,2025-08-14,22.574774,4.1468015,2.7626734,9.205,0.13109,31.948,2.755
MSFT,2025-08-14,38.30498,13.785417,11.308112,24.834,0.33280998,32.661,1.353
MAA,2025-08-14,28.812756,7.6387987,2.782624,17.384,0.09573,83.591,0.059
MHK,2025-08-14,17.115538,0.7494838,0.96674025,7.621,0.05947,31.685,2.126
MOH,2025-08-14,7.8713017,0.2074658,1.8726904,1.952,0.23924999,77.406,1.665
TAP,2025-08-14,10.104536,0.89811414,0.7554487,6.961,0.07863,47.397,0.949
MDLZ,2025-08-14,22.51282,2.1432736,3.0355115,16.975,0.13545999,81.933,0.641
MPWR,2025-08-14,22.231796,15.979801,11.949011,56.954,0.665,0.585,5.003
MNST,2025-08-14,39.875774,8.184532,8.716904,26.563,0.241,0.911,3.519
MCO,2025-08-14,44.25467,12.79642,23.678066,29.166,0.5302,179.869,1.753
MS,2025-08-14,16.799772,3.613248,2.4113853,,0.14128,438.541,2.135
MOS,2025-08-14,10.881355,0.9053115,0.8190655,7.565,0.07914,36.763,1.136
MSI,2025-08-14,37.196613,6.9328465,39.076443,25.366,1.51517,419.96,1.728
NDAQ,2025-08-14,36.69231,6.748865,4.6355686,22.234,0.13254,81.977,0.96
NTAP,2025-08-14,19.32275,3.3357952,21.175106,13.145,1.08509,335.673,1.255
NFLX,2025-08-14,52.38655,12.541546,20.956047,41.217,0.43548,67.866,1.341
NEM,2025-08-14,12.405798,3.654385,2.3479395,6.988,0.20285,23.561,2.227
NWSA,2025-08-14,35.476192,2.08997,1.9202268,15.767,0.07043,31.313,1.845
NWS,2025-08-14,40.952385,2.099316,2.2166378,17.969,0.07043,31.313,1.845
NEE,2025-08-14,25.170732,5.743971,2.928609,17.106,0.07592,152.939,0.542
NKE,2025-08-14,35.365738,2.4362519,8.533289,25.885,0.23290001,83.41,2.211
NI,2025-08-14,22.632978,3.2681727,2.2552605,14.276,0.09305,143.642,0.586
NDSN,2025-08-14,27.920307,4.5387754,4.146528,18.246,0.15536,78.487,2.562
NSC,2025-08-14,19.087837,5.2044673,4.291161,13.194,0.24129999,121.059,0.793
NOC,2025-08-14,21.515665,2.0636227,5.4058156,15.458,0.26501,116.903,1.042
NCLH,2025-08-14,16.68493,1.1514688,6.934244,10.113,0.63567,929.5,0.184
NRG,2025-08-14,66.284485,1.0128995,18.272337,18.404,0.17662,486.145,0.933
NUE,2025-08-14,25.822899,1.0812474,1.6326047,10.912,0.07304,32.017,2.827
NVDA,2025-08-14,58.527336,29.889448,52.943573,49.717,1.15463,12.267,3.388
NVR,2025-08-14,17.336386,2.1136506,6.147563,11.354,0.38102,27.805,6.201
NXPI,2025-08-14,27.597137,4.8156004,6.1003814,16.239,0.22695999,115.519,1.736
OXY,2025-08-14,26.335293,1.6233288,1.6064445,5.649,0.071100004,66.823,1.048
ODFL,2025-08-14,29.45614,5.6323133,7.5220265,18.129,0.26251,4.018,1.377
OMC,2025-08-14,10.78827,0.9181595,3.2559047,7.692,0.28959,129.382,0.922
ON,2025-08-14,49.161907,3.2992496,2.6730876,12.351,0.05748,45.661,5.022
OKE,2025-08-14,14.580897,1.685177,2.1577961,11.674,0.16766001,148.224,0.586
ORCL,2025-08-14,56.312645,11.98716,33.620644,33.387,0.82382005,519.586,0.753
PCAR,2025-08-14,17.099485,1.6832216,2.7635627,14.088,0.16771,84.861,5.444
PKG,2025-08-14,19.612774,2.0464118,3.7915533,10.958,0.20653999,60.681,3.538
PLTR,2025-08-14,624.2069,124.8162,72.408005,722.195,0.15203,3.947,6.324
PANW,2025-08-14,100.31792,13.061884,15.983607,92.334,0.21162,11.147,0.895
PSKY,2025-08-14,479.33334,0.31680503,0.5810571,9.04,0.00093999994,90.626,1.388
PH,2025-08-14,27.47291,4.797887,6.9293346,21.292,0.2741,67.818,1.194
PAYX,2025-08-14,30.085339,8.889558,12.006812,21.0,0.41804,122.209,1.282
PAYC,2025-08-14,29.110512,6.200023,6.5601654,23.548,0.25752002,4.506,1.299
PYPL,2025-08-14,14.85653,2.0526483,3.2970583,10.655,0.22923,60.254,1.329
PNR,2025-08-14,29.133879,4.263613,4.7600555,18.26,0.17153999,43.655,1.447
PEP,2025-08-14,27.021818,2.217734,11.054745,14.566,0.39859,276.868,0.775
PFE,2025-08-14,13.285715,2.236526,1.6094091,7.841,0.12168,69.703,1.158
PCG,2025-08-14,14.175926,1.3760655,1.1365155,10.032,0.081149995,189.818,0.937
PSX,2025-08-14,29.22143,0.3730137,1.8041631,18.49,0.06183,73.13,1.071
PNW,2025-08-14,18.911524,2.0886838,1.631751,12.536,0.090270005,205.106,0.522
POOL,2025-08-14,30.054377,2.306306,9.366096,21.781,0.30175,119.571,2.516
