Ticker,Report Date,P/E Ratio (TTM),P/S Ratio (TTM),P/B Ratio,EV/EBITDA (TTM),ROE,Debt-to-Equity,Current Ratio
TSN,2025-08-14,25.590908,0.36992195,1.0922495,8.232,0.04434,49.085,1.733
UBER,2025-08-14,15.570699,4.0271153,8.440299,37.366,0.67485,52.23,1.112
UDR,2025-08-14,97.61539,8.37702,3.8431253,19.547,0.03121,139.058,0.238
ULTA,2025-08-14,20.578022,2.0712135,9.75202,13.84,0.50435,81.274,1.667
UNP,2025-08-14,19.229166,5.3855705,8.079953,13.362,0.42355,208.857,0.648
UAL,2025-08-14,9.943831,0.55349207,2.4004843,5.943,0.27708,245.166,0.699
UPS,2025-08-14,13.177084,0.83102465,4.7676735,8.471,0.34907,183.235,1.324
URI,2025-08-14,23.877949,3.7645056,6.573053,16.376,0.29302,159.989,0.859
UNH,2025-08-14,11.752813,0.58153015,2.5938451,9.036,0.21653,75.577,0.846
UHS,2025-08-14,9.417282,0.69104403,1.6180252,6.778,0.18789,70.09,1.29
VLO,2025-08-14,54.766132,0.35893762,1.7523578,10.149,0.02757,39.511,1.622
VTR,2025-08-14,157.04651,5.8177266,2.6589756,21.781,0.01822,111.346,0.869
VLTO,2025-08-14,30.075418,4.983121,10.069204,21.528,0.41219002,107.554,2.316
VRSK,2025-08-14,41.50388,12.523593,119.99104,27.437,2.4310699,1096.545,1.531
VZ,2025-08-14,10.116279,1.3387585,1.7795779,7.149,0.18454,167.439,0.637
VRTX,2025-08-14,27.7596,8.763566,5.824069,20.131,0.22771,8.893,2.52
VICI,2025-08-14,12.494253,8.85686,1.2751232,14.635,0.10451,64.998,17.639
V,2025-08-14,33.739258,17.241545,17.642342,24.483,0.51755,65.017,1.115
VST,2025-08-14,32.532158,3.7043567,29.237104,13.431,0.39298,373.842,0.899
VMC,2025-08-14,40.651875,5.0990896,4.602051,20.282,0.1187,65.384,1.672
WRB,2025-08-14,16.263636,1.8998959,2.9209354,10.858,0.2058,33.219,0.399
GWW,2025-08-14,24.747587,2.666629,12.708447,16.785,0.52412,66.838,2.822
WAB,2025-08-14,28.460506,3.0909765,3.0216293,16.681,0.109060004,47.091,1.762
WMT,2025-08-14,43.098293,1.17478,9.612085,20.399,0.21783,75.78,0.78
DIS,2025-08-14,18.230408,2.2120614,1.9149777,12.889,0.1146,37.152,0.722
WBD,2025-08-14,38.0,0.758684,0.8087882,7.632,0.01759,92.733,1.044
WM,2025-08-14,33.553413,3.803758,9.895423,16.559,0.32691002,261.03,0.857
WAT,2025-08-14,26.443241,5.735782,8.087955,17.904,0.37034,73.86,1.754
WEC,2025-08-14,20.754318,3.7396035,2.6319888,15.36,0.1273,150.418,0.553
WELL,2025-08-14,90.43576,11.669714,2.9991107,35.33,0.0345,47.356,3.221
WST,2025-08-14,36.911545,5.9805336,6.0433493,22.17,0.17716,10.522,2.78
WY,2025-08-14,69.210526,2.6969495,1.9933302,23.01,0.02851,54.504,1.038
WSM,2025-08-14,23.722864,3.247361,11.691327,15.991,0.50154996,63.334,1.508
WMB,2025-08-14,28.959597,6.1623216,5.644812,16.713,0.17393999,192.989,0.536
WTW,2025-08-14,224.48979,3.2821004,3.9866147,14.137,0.01671,72.555,1.125
WDAY,2025-08-14,122.607735,6.8034706,6.643516,56.859,0.05702,38.042,2.067
XEL,2025-08-14,20.052631,3.0675163,2.041743,13.65,0.10654,159.282,0.963
XYL,2025-08-14,36.841557,3.9547849,3.117568,20.272,0.08625,18.782,1.899
ZBRA,2025-08-14,31.003784,3.210497,4.6059027,19.044,0.15875,65.247,1.464
ZBH,2025-08-14,24.907318,2.5823436,1.613525,10.67,0.06529,61.603,1.872
ZTS,2025-08-14,26.344234,7.2278733,13.652662,18.48,0.52772,137.01,1.76
